estado,excel_row,fecha,evaporacion,estacion,nota
INSERTABLE,2,1994-01-01,6.6,,
INSERTABLE,3,1994-01-02,6.6,,
INSERTABLE,4,1994-01-03,6.6,,
INSERTABLE,5,1994-01-04,3.1,,
INSERTABLE,6,1994-01-05,6.1,,
INSERTABLE,7,1994-01-06,6.1,,
INSERTABLE,8,1994-01-07,5.8,,
INSERTABLE,9,1994-01-08,6.2,,
INSERTABLE,10,1994-01-09,6,,
INSERTABLE,11,1994-01-10,6,,
INSERTABLE,12,1994-01-11,6,,
INSERTABLE,13,1994-01-12,7,,
INSERTABLE,14,1994-01-13,8.3,,
INSERTABLE,15,1994-01-14,7.9,,
INSERTABLE,16,1994-01-15,7.8,,
INSERTABLE,18,1994-01-17,8.7,,
INSERTABLE,19,1994-01-18,7.7,,
INSERTABLE,20,1994-01-19,7.4,,
INSERTABLE,21,1994-01-20,7.3,,
INSERTABLE,22,1994-01-21,8.4,,
INSERTABLE,23,1994-01-22,7.2,,
INSERTABLE,24,1994-01-23,5.7,,
INSERTABLE,25,1994-01-24,5.7,,
INSERTABLE,26,1994-01-25,7,,
INSERTABLE,27,1994-01-26,8.3,,
INSERTABLE,28,1994-01-27,7.1,,
INSERTABLE,29,1994-01-28,5.7,,
INSERTABLE,30,1994-01-29,5.7,,
INSERTABLE,31,1994-01-30,7.7,,
INSERTABLE,32,1994-01-31,7.7,,
INSERTABLE,33,1994-02-01,6.5,,
INSERTABLE,34,1994-02-02,6,,
INSERTABLE,35,1994-02-03,8.6,,
INSERTABLE,36,1994-02-04,8.9,,
INSERTABLE,37,1994-02-05,8,,
INSERTABLE,38,1994-02-06,6.95,,
INSERTABLE,39,1994-02-07,6.95,,
INSERTABLE,40,1994-02-08,6.7,,
INSERTABLE,41,1994-02-09,7,,
INSERTABLE,42,1994-02-10,5.5,,
INSERTABLE,43,1994-02-11,5.8,,
INSERTABLE,44,1994-02-12,6.1,,
INSERTABLE,45,1994-02-13,6.5,,
INSERTABLE,46,1994-02-14,6.5,,
INSERTABLE,47,1994-02-15,9.6,,
INSERTABLE,48,1994-02-16,7,,
INSERTABLE,49,1994-02-17,7.5,,
INSERTABLE,50,1994-02-18,6,,
INSERTABLE,51,1994-02-19,7.6,,
INSERTABLE,52,1994-02-20,4.9,,
INSERTABLE,53,1994-02-21,4.9,,
INSERTABLE,54,1994-02-22,5.2,,
INSERTABLE,55,1994-02-23,4.9,,
INSERTABLE,56,1994-02-24,5.1,,
INSERTABLE,57,1994-02-25,4.9,,
