estado,excel_row,potrero,bloque,supabase_id,hectareas_actual,hectareas_excel,hectareas_cambia,precipitacion,caudal,nota
MATCH,2,1,1,2fd8cafe-a3aa-4899-87de-97d9d55e18d5,3.0,3,False,2.2,62.60333842388165,
MATCH,3,1,2,c7f4348d-9623-47b0-baba-253d569342a2,3.0,3,False,2.2,74.55380101675807,
MATCH,4,1,3,e526ebd5-0c6b-4494-b3c2-f195ffda1089,3.63,3.63,False,2.2,75.18400386824956,
MATCH,5,1,4,dd5cbce5-6b95-4968-b608-7c091308abd5,3.6,3.6,False,2.2,72.91295824171874,
MATCH,6,25,1,dc299a5a-1fcc-483f-9809-6cdf82c3f603,1.56,1.56,False,2,53.43815892372469,
MATCH,7,25,2,2b35b4f2-df3f-418b-bf81-e9e2c3a60cb1,1.31,1.31,False,2,52.277463278452174,
MATCH,8,25,3,262bfea8-6344-4b17-b600-addc2880e420,1.37,1.37,False,2,54.95392654847526,
MATCH,9,25,4,a72e4fd4-4a48-4bde-8ef6-f3536823083d,1.34,1.34,False,2,53.47178033819595,
MATCH,10,25,5,6441f211-fc92-4aa3-8701-a2d7d6454f1e,1.56,1.56,False,2,56.94560487719064,
MATCH,11,25,6,3b3ca92f-a495-498f-a452-30043078e0ac,1.49,1.49,False,2,47.713727948365026,
MATCH,12,25,7,e718a9ba-1bed-45f8-b3b2-2defba7a8bfd,1.61,1.61,False,2,60.71484854975793,
MATCH,13,25,8,2ddd0a08-5db4-4294-81bc-f19671018293,1.6,1.6,False,2,44.6740665046784,
MATCH,14,29,1,2a66f485-7e66-43d4-b71e-a58010d52f60,1.76,1.76,False,1.98,47.76491228070177,
MATCH,15,29,2,3f3ab43b-74a3-4ddb-a3b4-63f7f3887236,1.85,1.85,False,1.98,42.74413793103449,
MATCH,16,29,3,17d752f7-fa58-4cf2-95a9-624929561652,0.34,0.34,False,1.98,13.860566037735847,
MATCH,17,29,4,4d94cd51-1415-4496-814b-64f25fec1720,1.98,1.98,False,1.98,53.92425925925926,
MATCH,18,29,5,cab3b73f-6340-40ce-874c-f8e6a21f8164,2.21,2.21,False,1.98,58.456896551724135,
MATCH,19,29,6,831fa695-ff82-412d-90f8-f213d5e490c5,0.75,0.75,False,1.98,30.315517241379325,
MATCH,20,29,7,7c8ec40e-c9ee-4412-9076-51dd438ccf26,1.2,1.2,False,1.98,21.572807017543866,
MATCH,21,10,1,5cec3c4a-518f-4c7e-bf91-2c01ad480168,1.7,1.7,False,2.67,51.578913864917986,
MATCH,22,10,2,4cb5f954-f84e-4921-8cde-23c4efa582a1,1.78,1.78,False,2.67,52.813626797865105,
MATCH,23,10,3,6cad8324-64dd-4b95-9db3-1a5884edd3c7,0.94,0.94,False,3.33,35.16140644233787,
MATCH,24,10,4,67bbb3dd-0c01-4dde-af3f-e043ee3222b9,0.96,0.96,False,3.33,38.24027049525512,
MATCH,25,10,5,7b49994f-1c60-4cda-a5dc-30c9830cf64e,2.1,2.1,False,2.67,55.48897491932272,
MATCH,26,10,6,f5238e40-2133-495e-ada1-2d6f4cf70125,2.13,2.13,False,2.67,57.09961190808355,
MATCH,27,2,5,88e7cfb1-c918-44b6-aafb-664a95a4337d,2.22,2.22,False,2.75,68.52276223848193,
MATCH,28,2,6,c1fce3ef-a196-44d0-942a-beb199184411,2.13,2.13,False,2.75,65.148004873012,
MATCH,29,2,7,e0370f29-0f65-4bb3-aea0-28e97c9776af,2.24,2.24,False,2.75,71.3640844413673,
MATCH,30,2,8,fce108fc-2f39-457a-a98b-859f8d7df697,2.22,2.22,False,2.75,69.05029567592614,
MATCH,31,20,3,7e2d6809-f5e3-463a-9383-72214bff9c20,1.98,1.98,False,3.5,47.19346819610305,
MATCH,32,20,4,79d29558-ab6e-4f85-8f51-8b0edc42b4c1,2.03,2.03,False,3.5,48.934089012349254,
MATCH,33,20,5,575b06f8-f4e6-45e4-b70e-32771b2a05a3,2.0,2,False,3.5,47.47970052343799,
MATCH,34,20,6,d884f06a-5e5c-4ad6-a645-26779612e770,2.0,2,False,3.5,50.5437828506314,
MATCH,35,20A,7,1eea43bb-c1ca-4e28-a522-c5bac69ebd01,1.4,1.4,False,3.1,40.02448322619975,
MATCH,36,20A,8,e2213472-1553-4b1f-b367-0853fe4721af,1.53,1.53,False,3.1,41.55636889050383,
MATCH,37,20B,10,a3433a2c-2fa1-4295-81fb-4bbddc554553,1.83,1.83,False,1.4,46.20830509614533,
MATCH,38,20B,9,2e2d6dcf-e8da-403f-88c6-d764f591484b,1.99,1.99,False,1.4,46.20830509614533,
MATCH,39,21,1,211da4f3-ee2d-42db-9ad8-63fc12d0ab0d,2.3,2.3,False,2.76,44.48875787017772,
MATCH,40,21,2,ce685441-cc02-4b2e-8abb-4e4fa0f67c8d,2.29,2.29,False,2.76,45.530091870942854,
MATCH,41,22,1,cd2127fc-794e-4091-855c-3afc4cc3df1a,1.84,1.84,False,3.6,69.38510141445786,
MATCH,42,22,2,ac3f43be-8d0d-4b8c-9d95-6711eeeaea43,1.95,1.95,False,3.6,74.4361842242492,
MATCH,43,22,3,d320bb62-cb27-4de4-b674-955e137bc9ca,1.66,1.66,False,3.6,57.200340357840076,
MATCH,44,22,4,f1c7f0b5-c17f-4af7-b206-817a33fd164c,1.86,1.86,False,3.6,60.47321836148002,
MATCH,45,22,5,fabb841c-1bb0-4044-b6e0-f66f56c1ed68,1.28,1.28,False,3.6,51.731388120288706,
MATCH,46,24,11,a36af9c3-1b79-4cae-aaf8-695e2ac3d5de,2.59,2.59,False,2.8,42.90371540158063,
MATCH,47,24,12,bfd12d4c-b1fe-46f1-aab2-7fa466f20b43,2.59,2.59,False,2.8,48.5806253161574,
MATCH,48,27 GRAV,1,3f9263c3-8e52-4c18-9307-e7c83beefe08,1.68,1.68,False,2.2,42.329799920273636,
MATCH,49,27 GRAV,2,503cbc36-1390-423e-aa0f-73d3a17f6763,1.57,1.57,False,2.2,34.58241267514802,
MATCH,50,27 GRAV,3,576a6928-430b-49ba-a482-8141b6e986d2,1.66,1.66,False,2.7,41.60060099342743,
MATCH,51,27 GRAV,4,23c47b52-b4bd-4ea7-bcd8-538edc8d012d,1.64,1.64,False,2.7,44.226068881812566,
MATCH,52,27 GRAV,5,680b3f93-506a-4ba5-94ea-4edfb9300630,1.64,1.64,False,2.7,42.77598466046864,
MATCH,53,27 IMP,1,23cbf0c5-1603-451b-bb3d-fea94fadb551,0.68,0.68,False,2.2,35.32240990906899,
MATCH,54,27 IMP,2,afccb8c4-b3db-4a01-a8bd-acac23ce56ba,0.66,0.66,False,2.2,33.473516889604845,
MATCH,55,27 IMP,3,7cca6c90-fa0e-4dc5-97d3-8bed092b9f33,0.66,0.66,False,2.7,27.075514317851486,
MATCH,56,27 IMP,4,3a3ef1f7-a126-4cce-a304-7315a303639e,1.18,1.18,False,2.7,31.235794320772975,
MATCH,57,27 IMP,5,6f53cd9d-4882-4b71-b45b-6141ddf874cb,1.18,1.18,False,2.7,21.570842392481957,
MATCH,58,27 IMP,6,76d10cbc-0e36-45f2-869c-0291bfa76f68,1.2,1.2,False,3.2,24.2042590131275,
MATCH,59,27 IMP,7,6b40d18c-17fe-46b7-8976-bac59a3ce7c5,1.19,1.19,False,3.2,23.31088747763988,
MATCH,60,28,1,4db377bb-a701-4c99-a087-fc2fc50076a1,0.777,0.777,False,3.5,17.2,
